"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login tests TF - Desktop","","0","0","6","0","0"
"","Category tests TF - Desktop","","0","0","2","0","0"
"","Login tests TF - Mobile","","0","0","6","0","0"
"","Checkout tests TF - Mobile","","0","0","1","0","0"
"","Product Detail Page tests TF - Desktop","","0","0","2","0","0"
"","Navigation tests TF - Desktop","","0","0","2","0","0"
"","Checkout tests TF - Desktop","","0","0","2","0","0"
"","Navigation tests TF - Mobile","","0","0","2","0","0"
"","Cart tests TF - Desktop","","1","0","1","0","0"
"","Category tests TF - Mobile","","0","0","2","0","0"
"","Cart tests TF - Mobile","","1","0","1","0","0"
"","My Account tests TF - Mobile","","0","0","1","0","0"
"","My Account tests TF - Desktop","","0","0","2","0","0"
"","Product Detail Page tests TF - Mobile","","0","0","1","0","0"
