"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 15 13:31:23 GMT 2023","Mon May 15 13:32:17 GMT 2023","54311","","Cart tests TF - Mobile","","","","At SamsungS10 Add item to cart",""
"passed","Mon May 15 13:36:04 GMT 2023","Mon May 15 13:37:10 GMT 2023","66352","","Login tests TF - Mobile","","","","At SamsungS10 Login with valid e-mail and password",""
"passed","Mon May 15 13:34:46 GMT 2023","Mon May 15 13:35:40 GMT 2023","53344","","Checkout tests TF - Mobile","","","","Validade visa - SamsungS10",""
"passed","Mon May 15 13:21:06 GMT 2023","Mon May 15 13:21:39 GMT 2023","32347","","Checkout tests TF - Desktop","","","","Validade mandatory document alert is displayed",""
"passed","Mon May 15 13:19:04 GMT 2023","Mon May 15 13:19:58 GMT 2023","54532","","Cart tests TF - Desktop","","","","Add item to cart",""
"passed","Mon May 15 13:38:35 GMT 2023","Mon May 15 13:39:38 GMT 2023","62643","","My Account tests TF - Mobile","","","","At SamsungS10 edit personal data - Gender F",""
"passed","Mon May 15 13:22:53 GMT 2023","Mon May 15 13:23:50 GMT 2023","57560","","My Account tests TF - Desktop","","","","At Desktop edit an address",""
"passed","Mon May 15 13:24:52 GMT 2023","Mon May 15 13:25:12 GMT 2023","19883","","Product Detail Page tests TF - Desktop","","","","At Desktop validate price block",""
"passed","Mon May 15 13:22:01 GMT 2023","Mon May 15 13:22:26 GMT 2023","24927","","Login tests TF - Desktop","","","","Login with valid e-mail and password",""
"passed","Mon May 15 13:33:55 GMT 2023","Mon May 15 13:34:16 GMT 2023","20885","","Category tests TF - Mobile","","","","Validate product card SamsungS10",""
"passed","Mon May 15 13:40:28 GMT 2023","Mon May 15 13:40:46 GMT 2023","17553","","Navigation tests TF - Mobile","","","","Test the redirection of the TF logo from PLP to Home - SamsungS10",""
"passed","Mon May 15 13:24:16 GMT 2023","Mon May 15 13:24:30 GMT 2023","14534","","Navigation tests TF - Desktop","","","","Validate footer TF links",""
"passed","Mon May 15 13:20:21 GMT 2023","Mon May 15 13:20:42 GMT 2023","20740","","Category tests TF - Desktop","","","","Validate product card",""
"passed","Mon May 15 13:45:49 GMT 2023","Mon May 15 13:46:17 GMT 2023","28605","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 Calculate invalid shipping in the product page",""
